epoch,accuracy,loss,val_accuracy,val_loss
0,0.4416666626930237,1.082865595817566,0.3125,1.0227530002593994
1,0.7749999761581421,0.6460329294204712,0.75,0.7665057182312012
2,0.8958333134651184,0.33191215991973877,0.875,0.38730305433273315
3,0.9958333373069763,0.1235428974032402,0.8125,0.33146318793296814
4,1.0,0.08595869690179825,1.0,0.12657713890075684
5,1.0,0.06991389393806458,1.0,0.1259055733680725
6,1.0,0.062445808202028275,1.0,0.17182280123233795
7,1.0,0.0598394051194191,1.0,0.1563291698694229
8,1.0,0.055677369236946106,1.0,0.11100345849990845
9,1.0,0.05362062156200409,1.0,0.1677107810974121
10,1.0,0.051360584795475006,1.0,0.09107222408056259
11,1.0,0.04949938878417015,1.0,0.08869898319244385
12,1.0,0.04724081978201866,1.0,0.10177411139011383
13,1.0,0.044210754334926605,1.0,0.1016947329044342
14,1.0,0.04170650243759155,1.0,0.0832696259021759
15,1.0,0.03952685743570328,1.0,0.07997463643550873
16,1.0,0.03815114498138428,1.0,0.08725229650735855
17,1.0,0.03704862669110298,1.0,0.05336364358663559
18,1.0,0.035956501960754395,1.0,0.061968617141246796
19,1.0,0.03500249236822128,1.0,0.07526363432407379
20,1.0,0.03430592641234398,1.0,0.054869066923856735
21,1.0,0.033677514642477036,1.0,0.05489957332611084
22,1.0,0.03282410278916359,1.0,0.06754547357559204
23,1.0,0.031976666301488876,1.0,0.05612391233444214
24,1.0,0.030598917976021767,1.0,0.06376444548368454
25,1.0,0.02961801365017891,1.0,0.049648597836494446
26,1.0,0.028735049068927765,1.0,0.05041501671075821
27,1.0,0.02792351320385933,1.0,0.0505497083067894
28,1.0,0.0270049087703228,1.0,0.044256240129470825
29,1.0,0.026416312903165817,1.0,0.03595029562711716
